Covariate,Model,Data,MAPE,RMSE,Href,AICc
NA,LinTrend,CJS,0.214934773,1.883500739,0,79.29475241
CUI,LinTrend,CJS,0.232329175,2.500684145,-26.07195628,114.9593013
CUTI,LinTrend,CJS,0.233406357,2.42011801,-26.45518699,115.342532
BEUTI,LinTrend,CJS,0.219561965,2.023061992,-26.20475709,115.0921021
Mldno3,LinTrend,CJS,0.20876265,1.893768739,-25.43799871,114.3253437
Mean_CUI,LinTrend,CJS,0.229944779,1.994724492,-27.23363552,116.1209805
Mean_CUTI,LinTrend,CJS,0.219734967,1.9835351,-26.61133046,123.4986755
Mean_BEUTI,LinTrend,CJS,0.201648614,1.901683466,-25.81212714,122.6994721
Mean_Mldno3,LinTrend,CJS,0.210347667,1.881232056,-25.49276706,114.3801121
Mean_outflow,LinTrend,CJS,0.254329613,2.234465011,-27.15655103,116.043896
Mean_temperature,LinTrend,CJS,0.1900794,1.736825298,-26.64163934,123.5289843
Mean_PNI,LinTrend,CJS,0.226549208,2.493036241,-25.86471547,122.7520605
Pre Entry SST,LinTrend,CJS,0.191891752,1.908926736,-26.64163934,123.5289843
Entry SST,LinTrend,CJS,0.229850463,1.967246996,-25.96646179,122.8538068
6 Month SST,LinTrend,CJS,0.194737247,1.881045119,-24.43309062,121.3204356
