
year,mm-dd,location,parameter,unit,datatype,value
2025,3-1,LWG,outflow,kcfs,Outflow,47.900
2025,3-2,LWG,outflow,kcfs,Outflow,49.305
2025,3-3,LWG,outflow,kcfs,Outflow,50.116
2025,3-4,LWG,outflow,kcfs,Outflow,51.200
2025,3-5,LWG,outflow,kcfs,Outflow,53.368
2025,3-6,LWG,outflow,kcfs,Outflow,46.274
2025,3-7,LWG,outflow,kcfs,Outflow,44.679
2025,3-8,LWG,outflow,kcfs,Outflow,44.968
2025,3-9,LWG,outflow,kcfs,Outflow,48.806
2025,3-10,LWG,outflow,kcfs,Outflow,48.194
2025,3-11,LWG,outflow,kcfs,Outflow,45.833
2025,3-12,LWG,outflow,kcfs,Outflow,51.211
2025,3-13,LWG,outflow,kcfs,Outflow,54.017
2025,3-14,LWG,outflow,kcfs,Outflow,53.794
2025,3-15,LWG,outflow,kcfs,Outflow,49.817
2025,3-16,LWG,outflow,kcfs,Outflow,48.344
2025,3-17,LWG,outflow,kcfs,Outflow,55.600
2025,3-18,LWG,outflow,kcfs,Outflow,53.111
2025,3-19,LWG,outflow,kcfs,Outflow,54.633
2025,3-20,LWG,outflow,kcfs,Outflow,46.433
2025,3-21,LWG,outflow,kcfs,Outflow,50.083
2025,3-22,LWG,outflow,kcfs,Outflow,53.928
2025,3-23,LWG,outflow,kcfs,Outflow,56.244
2025,3-24,LWG,outflow,kcfs,Outflow,56.294
2025,3-25,LWG,outflow,kcfs,Outflow,59.078
2025,3-26,LWG,outflow,kcfs,Outflow,75.517
2025,3-27,LWG,outflow,kcfs,Outflow,90.022
2025,3-28,LWG,outflow,kcfs,Outflow,93.300
2025,3-29,LWG,outflow,kcfs,Outflow,95.919
2025,3-30,LWG,outflow,kcfs,Outflow,90.322
2025,3-31,LWG,outflow,kcfs,Outflow,79.378
2025,4-1,LWG,outflow,kcfs,Outflow,77.969
2025,4-2,LWG,outflow,kcfs,Outflow,73.577
2025,4-3,LWG,outflow,kcfs,Outflow,71.439
2025,4-4,LWG,outflow,kcfs,Outflow,71.450
2025,4-5,LWG,outflow,kcfs,Outflow,69.567
2025,4-6,LWG,outflow,kcfs,Outflow,68.467
2025,4-7,LWG,outflow,kcfs,Outflow,68.339
2025,4-8,LWG,outflow,kcfs,Outflow,70.311
2025,4-9,LWG,outflow,kcfs,Outflow,77.456
2025,4-10,LWG,outflow,kcfs,Outflow,77.983
2025,4-11,LWG,outflow,kcfs,Outflow,80.978
2025,4-12,LWG,outflow,kcfs,Outflow,88.623
2025,4-13,LWG,outflow,kcfs,Outflow,90.400
2025,4-14,LWG,outflow,kcfs,Outflow,91.022
2025,4-15,LWG,outflow,kcfs,Outflow,86.206
2025,4-16,LWG,outflow,kcfs,Outflow,89.417
2025,4-17,LWG,outflow,kcfs,Outflow,89.789
2025,4-18,LWG,outflow,kcfs,Outflow,89.050
2025,4-19,LWG,outflow,kcfs,Outflow,85.089
2025,4-20,LWG,outflow,kcfs,Outflow,80.972
2025,4-21,LWG,outflow,kcfs,Outflow,75.300
2025,4-22,LWG,outflow,kcfs,Outflow,70.856
2025,4-23,LWG,outflow,kcfs,Outflow,73.117
2025,4-24,LWG,outflow,kcfs,Outflow,67.780
2025,4-25,LWG,outflow,kcfs,Outflow,62.328
2025,4-26,LWG,outflow,kcfs,Outflow,67.262
2025,4-27,LWG,outflow,kcfs,Outflow,65.806
2025,4-28,LWG,outflow,kcfs,Outflow,72.133
2025,4-29,LWG,outflow,kcfs,Outflow,82.144
2025,4-30,LWG,outflow,kcfs,Outflow,83.344
2025,5-1,LWG,outflow,kcfs,Outflow,79.772
2025,5-2,LWG,outflow,kcfs,Outflow,80.461
2025,5-3,LWG,outflow,kcfs,Outflow,84.194
2025,5-4,LWG,outflow,kcfs,Outflow,91.711
2025,5-5,LWG,outflow,kcfs,Outflow,98.889
2025,5-6,LWG,outflow,kcfs,Outflow,89.389
2025,5-7,LWG,outflow,kcfs,Outflow,88.056
2025,5-8,LWG,outflow,kcfs,Outflow,86.878
2025,5-9,LWG,outflow,kcfs,Outflow,95.356
2025,5-10,LWG,outflow,kcfs,Outflow,103.411
2025,5-11,LWG,outflow,kcfs,Outflow,115.378
2025,5-12,LWG,outflow,kcfs,Outflow,120.206
2025,5-13,LWG,outflow,kcfs,Outflow,113.650
2025,5-14,LWG,outflow,kcfs,Outflow,109.739
2025,5-15,LWG,outflow,kcfs,Outflow,94.483
2025,5-16,LWG,outflow,kcfs,Outflow,84.978
2025,5-17,LWG,outflow,kcfs,Outflow,86.039
2025,5-18,LWG,outflow,kcfs,Outflow,74.450
2025,5-19,LWG,outflow,kcfs,Outflow,80.228
2025,5-20,LWG,outflow,kcfs,Outflow,77.772
2025,5-21,LWG,outflow,kcfs,Outflow,72.500
2025,5-22,LWG,outflow,kcfs,Outflow,69.628
2025,5-23,LWG,outflow,kcfs,Outflow,70.444
2025,5-24,LWG,outflow,kcfs,Outflow,70.194
2025,5-25,LWG,outflow,kcfs,Outflow,69.211
2025,5-26,LWG,outflow,kcfs,Outflow,75.654
2025,5-27,LWG,outflow,kcfs,Outflow,82.431
2025,5-28,LWG,outflow,kcfs,Outflow,92.300
2025,5-29,LWG,outflow,kcfs,Outflow,100.411
2025,5-30,LWG,outflow,kcfs,Outflow,105.817
2025,5-31,LWG,outflow,kcfs,Outflow,103.944
2024,3-1,LWG,outflow,kcfs,Outflow,53.100
2024,3-2,LWG,outflow,kcfs,Outflow,45.194
2024,3-3,LWG,outflow,kcfs,Outflow,36.395
2024,3-4,LWG,outflow,kcfs,Outflow,44.232
2024,3-5,LWG,outflow,kcfs,Outflow,39.968
2024,3-6,LWG,outflow,kcfs,Outflow,43.247
2024,3-7,LWG,outflow,kcfs,Outflow,34.692
2024,3-8,LWG,outflow,kcfs,Outflow,39.589
2024,3-9,LWG,outflow,kcfs,Outflow,37.979
2024,3-10,LWG,outflow,kcfs,Outflow,38.339
2024,3-11,LWG,outflow,kcfs,Outflow,39.283
2024,3-12,LWG,outflow,kcfs,Outflow,36.444
2024,3-13,LWG,outflow,kcfs,Outflow,41.228
2024,3-14,LWG,outflow,kcfs,Outflow,33.779
2024,3-15,LWG,outflow,kcfs,Outflow,39.822
2024,3-16,LWG,outflow,kcfs,Outflow,40.128
2024,3-17,LWG,outflow,kcfs,Outflow,40.667
2024,3-18,LWG,outflow,kcfs,Outflow,41.713
2024,3-19,LWG,outflow,kcfs,Outflow,44.978
2024,3-20,LWG,outflow,kcfs,Outflow,43.983
2024,3-21,LWG,outflow,kcfs,Outflow,44.029
2024,3-22,LWG,outflow,kcfs,Outflow,52.494
2024,3-23,LWG,outflow,kcfs,Outflow,50.161
2024,3-24,LWG,outflow,kcfs,Outflow,48.950
2024,3-25,LWG,outflow,kcfs,Outflow,52.350
2024,3-26,LWG,outflow,kcfs,Outflow,51.411
2024,3-27,LWG,outflow,kcfs,Outflow,47.172
2024,3-28,LWG,outflow,kcfs,Outflow,44.864
2024,3-29,LWG,outflow,kcfs,Outflow,48.711
2024,3-30,LWG,outflow,kcfs,Outflow,46.744
2024,3-31,LWG,outflow,kcfs,Outflow,47.778
2024,4-1,LWG,outflow,kcfs,Outflow,48.789
2024,4-2,LWG,outflow,kcfs,Outflow,41.478
2024,4-3,LWG,outflow,kcfs,Outflow,41.583
2024,4-4,LWG,outflow,kcfs,Outflow,53.611
2024,4-5,LWG,outflow,kcfs,Outflow,61.361
2024,4-6,LWG,outflow,kcfs,Outflow,67.650
2024,4-7,LWG,outflow,kcfs,Outflow,63.917
2024,4-8,LWG,outflow,kcfs,Outflow,66.639
2024,4-9,LWG,outflow,kcfs,Outflow,62.267
2024,4-10,LWG,outflow,kcfs,Outflow,65.583
2024,4-11,LWG,outflow,kcfs,Outflow,62.833
2024,4-12,LWG,outflow,kcfs,Outflow,61.233
2024,4-13,LWG,outflow,kcfs,Outflow,66.161
2024,4-14,LWG,outflow,kcfs,Outflow,75.950
2024,4-15,LWG,outflow,kcfs,Outflow,87.789
2024,4-16,LWG,outflow,kcfs,Outflow,98.133
2024,4-17,LWG,outflow,kcfs,Outflow,91.306
2024,4-18,LWG,outflow,kcfs,Outflow,84.156
2024,4-19,LWG,outflow,kcfs,Outflow,81.228
2024,4-20,LWG,outflow,kcfs,Outflow,77.417
2024,4-21,LWG,outflow,kcfs,Outflow,76.011
2024,4-22,LWG,outflow,kcfs,Outflow,75.811
2024,4-23,LWG,outflow,kcfs,Outflow,73.372
2024,4-24,LWG,outflow,kcfs,Outflow,73.494
2024,4-25,LWG,outflow,kcfs,Outflow,75.661
2024,4-26,LWG,outflow,kcfs,Outflow,77.989
2024,4-27,LWG,outflow,kcfs,Outflow,83.350
2024,4-28,LWG,outflow,kcfs,Outflow,82.767
2024,4-29,LWG,outflow,kcfs,Outflow,81.994
2024,4-30,LWG,outflow,kcfs,Outflow,85.656
2024,5-1,LWG,outflow,kcfs,Outflow,77.772
2024,5-2,LWG,outflow,kcfs,Outflow,76.778
2024,5-3,LWG,outflow,kcfs,Outflow,73.683
2024,5-4,LWG,outflow,kcfs,Outflow,70.000
2024,5-5,LWG,outflow,kcfs,Outflow,69.072
2024,5-6,LWG,outflow,kcfs,Outflow,73.200
2024,5-7,LWG,outflow,kcfs,Outflow,75.950
2024,5-8,LWG,outflow,kcfs,Outflow,74.822
2024,5-9,LWG,outflow,kcfs,Outflow,73.367
2024,5-10,LWG,outflow,kcfs,Outflow,71.639
2024,5-11,LWG,outflow,kcfs,Outflow,70.500
2024,5-12,LWG,outflow,kcfs,Outflow,80.956
2024,5-13,LWG,outflow,kcfs,Outflow,89.517
2024,5-14,LWG,outflow,kcfs,Outflow,100.039
2024,5-15,LWG,outflow,kcfs,Outflow,109.494
2024,5-16,LWG,outflow,kcfs,Outflow,111.717
2024,5-17,LWG,outflow,kcfs,Outflow,112.633
2024,5-18,LWG,outflow,kcfs,Outflow,110.350
2024,5-19,LWG,outflow,kcfs,Outflow,101.806
2024,5-20,LWG,outflow,kcfs,Outflow,92.017
2024,5-21,LWG,outflow,kcfs,Outflow,81.017
2024,5-22,LWG,outflow,kcfs,Outflow,84.406
2024,5-23,LWG,outflow,kcfs,Outflow,81.867
2024,5-24,LWG,outflow,kcfs,Outflow,75.767
2024,5-25,LWG,outflow,kcfs,Outflow,76.017
2024,5-26,LWG,outflow,kcfs,Outflow,72.994
2024,5-27,LWG,outflow,kcfs,Outflow,69.561
2024,5-28,LWG,outflow,kcfs,Outflow,68.533
2024,5-29,LWG,outflow,kcfs,Outflow,71.739
2024,5-30,LWG,outflow,kcfs,Outflow,91.950
2024,5-31,LWG,outflow,kcfs,Outflow,84.183
