
year,mm-dd,location,parameter,unit,datatype,value
2025,3-1,LWG,tempc,C,Temp (WQM),NA
2025,3-2,LWG,tempc,C,Temp (WQM),NA
2025,3-3,LWG,tempc,C,Temp (WQM),NA
2025,3-4,LWG,tempc,C,Temp (WQM),NA
2025,3-5,LWG,tempc,C,Temp (WQM),NA
2025,3-6,LWG,tempc,C,Temp (WQM),NA
2025,3-7,LWG,tempc,C,Temp (WQM),NA
2025,3-8,LWG,tempc,C,Temp (WQM),NA
2025,3-9,LWG,tempc,C,Temp (WQM),NA
2025,3-10,LWG,tempc,C,Temp (WQM),NA
2025,3-11,LWG,tempc,C,Temp (WQM),NA
2025,3-12,LWG,tempc,C,Temp (WQM),NA
2025,3-13,LWG,tempc,C,Temp (WQM),NA
2025,3-14,LWG,tempc,C,Temp (WQM),NA
2025,3-15,LWG,tempc,C,Temp (WQM),NA
2025,3-16,LWG,tempc,C,Temp (WQM),NA
2025,3-17,LWG,tempc,C,Temp (WQM),NA
2025,3-18,LWG,tempc,C,Temp (WQM),NA
2025,3-19,LWG,tempc,C,Temp (WQM),NA
2025,3-20,LWG,tempc,C,Temp (WQM),NA
2025,3-21,LWG,tempc,C,Temp (WQM),NA
2025,3-22,LWG,tempc,C,Temp (WQM),NA
2025,3-23,LWG,tempc,C,Temp (WQM),NA
2025,3-24,LWG,tempc,C,Temp (WQM),7.249
2025,3-25,LWG,tempc,C,Temp (WQM),7.585
2025,3-26,LWG,tempc,C,Temp (WQM),7.858
2025,3-27,LWG,tempc,C,Temp (WQM),8.215
2025,3-28,LWG,tempc,C,Temp (WQM),8.612
2025,3-29,LWG,tempc,C,Temp (WQM),8.487
2025,3-30,LWG,tempc,C,Temp (WQM),8.209
2025,3-31,LWG,tempc,C,Temp (WQM),8.003
2025,4-1,LWG,tempc,C,Temp (WQM),7.775
2025,4-2,LWG,tempc,C,Temp (WQM),7.893
2025,4-3,LWG,tempc,C,Temp (WQM),7.777
2025,4-4,LWG,tempc,C,Temp (WQM),7.918
2025,4-5,LWG,tempc,C,Temp (WQM),7.870
2025,4-6,LWG,tempc,C,Temp (WQM),8.044
2025,4-7,LWG,tempc,C,Temp (WQM),8.490
2025,4-8,LWG,tempc,C,Temp (WQM),8.877
2025,4-9,LWG,tempc,C,Temp (WQM),9.443
2025,4-10,LWG,tempc,C,Temp (WQM),9.728
2025,4-11,LWG,tempc,C,Temp (WQM),9.839
2025,4-12,LWG,tempc,C,Temp (WQM),10.072
2025,4-13,LWG,tempc,C,Temp (WQM),10.216
2025,4-14,LWG,tempc,C,Temp (WQM),9.872
2025,4-15,LWG,tempc,C,Temp (WQM),9.522
2025,4-16,LWG,tempc,C,Temp (WQM),9.611
2025,4-17,LWG,tempc,C,Temp (WQM),9.778
2025,4-18,LWG,tempc,C,Temp (WQM),9.962
2025,4-19,LWG,tempc,C,Temp (WQM),9.922
2025,4-20,LWG,tempc,C,Temp (WQM),9.768
2025,4-21,LWG,tempc,C,Temp (WQM),9.638
2025,4-22,LWG,tempc,C,Temp (WQM),9.485
2025,4-23,LWG,tempc,C,Temp (WQM),9.666
2025,4-24,LWG,tempc,C,Temp (WQM),9.735
2025,4-25,LWG,tempc,C,Temp (WQM),10.058
2025,4-26,LWG,tempc,C,Temp (WQM),10.322
2025,4-27,LWG,tempc,C,Temp (WQM),10.648
2025,4-28,LWG,tempc,C,Temp (WQM),11.235
2025,4-29,LWG,tempc,C,Temp (WQM),11.828
2025,4-30,LWG,tempc,C,Temp (WQM),12.171
2025,5-1,LWG,tempc,C,Temp (WQM),12.038
2025,5-2,LWG,tempc,C,Temp (WQM),11.518
2025,5-3,LWG,tempc,C,Temp (WQM),11.558
2025,5-4,LWG,tempc,C,Temp (WQM),11.809
2025,5-5,LWG,tempc,C,Temp (WQM),11.953
2025,5-6,LWG,tempc,C,Temp (WQM),11.749
2025,5-7,LWG,tempc,C,Temp (WQM),11.084
2025,5-8,LWG,tempc,C,Temp (WQM),10.991
2025,5-9,LWG,tempc,C,Temp (WQM),11.473
2025,5-10,LWG,tempc,C,Temp (WQM),12.386
2025,5-11,LWG,tempc,C,Temp (WQM),12.797
2025,5-12,LWG,tempc,C,Temp (WQM),12.482
2025,5-13,LWG,tempc,C,Temp (WQM),11.878
2025,5-14,LWG,tempc,C,Temp (WQM),11.597
2025,5-15,LWG,tempc,C,Temp (WQM),11.228
2025,5-16,LWG,tempc,C,Temp (WQM),10.826
2025,5-17,LWG,tempc,C,Temp (WQM),10.659
2025,5-18,LWG,tempc,C,Temp (WQM),11.039
2025,5-19,LWG,tempc,C,Temp (WQM),11.387
2025,5-20,LWG,tempc,C,Temp (WQM),11.979
2025,5-21,LWG,tempc,C,Temp (WQM),11.791
2025,5-22,LWG,tempc,C,Temp (WQM),11.824
2025,5-23,LWG,tempc,C,Temp (WQM),12.079
2025,5-24,LWG,tempc,C,Temp (WQM),12.827
2025,5-25,LWG,tempc,C,Temp (WQM),13.268
2025,5-26,LWG,tempc,C,Temp (WQM),13.515
2025,5-27,LWG,tempc,C,Temp (WQM),14.055
2025,5-28,LWG,tempc,C,Temp (WQM),14.588
2025,5-29,LWG,tempc,C,Temp (WQM),14.744
2025,5-30,LWG,tempc,C,Temp (WQM),15.054
2025,5-31,LWG,tempc,C,Temp (WQM),15.158
2024,3-1,LWG,tempc,C,Temp (WQM),NA
2024,3-2,LWG,tempc,C,Temp (WQM),NA
2024,3-3,LWG,tempc,C,Temp (WQM),NA
2024,3-4,LWG,tempc,C,Temp (WQM),NA
2024,3-5,LWG,tempc,C,Temp (WQM),NA
2024,3-6,LWG,tempc,C,Temp (WQM),NA
2024,3-7,LWG,tempc,C,Temp (WQM),NA
2024,3-8,LWG,tempc,C,Temp (WQM),NA
2024,3-9,LWG,tempc,C,Temp (WQM),NA
2024,3-10,LWG,tempc,C,Temp (WQM),NA
2024,3-11,LWG,tempc,C,Temp (WQM),5.624
2024,3-12,LWG,tempc,C,Temp (WQM),5.759
2024,3-13,LWG,tempc,C,Temp (WQM),5.831
2024,3-14,LWG,tempc,C,Temp (WQM),5.857
2024,3-15,LWG,tempc,C,Temp (WQM),6.086
2024,3-16,LWG,tempc,C,Temp (WQM),6.218
2024,3-17,LWG,tempc,C,Temp (WQM),6.694
2024,3-18,LWG,tempc,C,Temp (WQM),6.981
2024,3-19,LWG,tempc,C,Temp (WQM),7.249
2024,3-20,LWG,tempc,C,Temp (WQM),7.379
2024,3-21,LWG,tempc,C,Temp (WQM),7.616
2024,3-22,LWG,tempc,C,Temp (WQM),8.412
2024,3-23,LWG,tempc,C,Temp (WQM),8.726
2024,3-24,LWG,tempc,C,Temp (WQM),8.883
2024,3-25,LWG,tempc,C,Temp (WQM),8.758
2024,3-26,LWG,tempc,C,Temp (WQM),8.540
2024,3-27,LWG,tempc,C,Temp (WQM),8.353
2024,3-28,LWG,tempc,C,Temp (WQM),8.091
2024,3-29,LWG,tempc,C,Temp (WQM),7.975
2024,3-30,LWG,tempc,C,Temp (WQM),7.966
2024,3-31,LWG,tempc,C,Temp (WQM),7.880
2024,4-1,LWG,tempc,C,Temp (WQM),8.173
2024,4-2,LWG,tempc,C,Temp (WQM),8.709
2024,4-3,LWG,tempc,C,Temp (WQM),8.659
2024,4-4,LWG,tempc,C,Temp (WQM),9.001
2024,4-5,LWG,tempc,C,Temp (WQM),9.119
2024,4-6,LWG,tempc,C,Temp (WQM),9.561
2024,4-7,LWG,tempc,C,Temp (WQM),9.208
2024,4-8,LWG,tempc,C,Temp (WQM),8.596
2024,4-9,LWG,tempc,C,Temp (WQM),8.446
2024,4-10,LWG,tempc,C,Temp (WQM),8.620
2024,4-11,LWG,tempc,C,Temp (WQM),9.204
2024,4-12,LWG,tempc,C,Temp (WQM),9.689
2024,4-13,LWG,tempc,C,Temp (WQM),10.118
2024,4-14,LWG,tempc,C,Temp (WQM),10.397
2024,4-15,LWG,tempc,C,Temp (WQM),11.216
2024,4-16,LWG,tempc,C,Temp (WQM),11.842
2024,4-17,LWG,tempc,C,Temp (WQM),11.449
2024,4-18,LWG,tempc,C,Temp (WQM),10.471
2024,4-19,LWG,tempc,C,Temp (WQM),9.997
2024,4-20,LWG,tempc,C,Temp (WQM),9.678
2024,4-21,LWG,tempc,C,Temp (WQM),9.718
2024,4-22,LWG,tempc,C,Temp (WQM),9.937
2024,4-23,LWG,tempc,C,Temp (WQM),10.514
2024,4-24,LWG,tempc,C,Temp (WQM),10.852
2024,4-25,LWG,tempc,C,Temp (WQM),11.005
2024,4-26,LWG,tempc,C,Temp (WQM),11.299
2024,4-27,LWG,tempc,C,Temp (WQM),11.771
2024,4-28,LWG,tempc,C,Temp (WQM),11.950
2024,4-29,LWG,tempc,C,Temp (WQM),11.892
2024,4-30,LWG,tempc,C,Temp (WQM),11.480
2024,5-1,LWG,tempc,C,Temp (WQM),11.261
2024,5-2,LWG,tempc,C,Temp (WQM),11.020
2024,5-3,LWG,tempc,C,Temp (WQM),10.902
2024,5-4,LWG,tempc,C,Temp (WQM),10.713
2024,5-5,LWG,tempc,C,Temp (WQM),10.843
2024,5-6,LWG,tempc,C,Temp (WQM),11.177
2024,5-7,LWG,tempc,C,Temp (WQM),11.203
2024,5-8,LWG,tempc,C,Temp (WQM),11.429
2024,5-9,LWG,tempc,C,Temp (WQM),11.706
2024,5-10,LWG,tempc,C,Temp (WQM),11.663
2024,5-11,LWG,tempc,C,Temp (WQM),11.776
2024,5-12,LWG,tempc,C,Temp (WQM),12.521
2024,5-13,LWG,tempc,C,Temp (WQM),13.429
2024,5-14,LWG,tempc,C,Temp (WQM),14.130
2024,5-15,LWG,tempc,C,Temp (WQM),14.093
2024,5-16,LWG,tempc,C,Temp (WQM),13.763
2024,5-17,LWG,tempc,C,Temp (WQM),13.176
2024,5-18,LWG,tempc,C,Temp (WQM),13.127
2024,5-19,LWG,tempc,C,Temp (WQM),12.725
2024,5-20,LWG,tempc,C,Temp (WQM),12.364
2024,5-21,LWG,tempc,C,Temp (WQM),12.026
2024,5-22,LWG,tempc,C,Temp (WQM),11.962
2024,5-23,LWG,tempc,C,Temp (WQM),11.918
2024,5-24,LWG,tempc,C,Temp (WQM),11.674
2024,5-25,LWG,tempc,C,Temp (WQM),11.786
2024,5-26,LWG,tempc,C,Temp (WQM),11.626
2024,5-27,LWG,tempc,C,Temp (WQM),11.821
2024,5-28,LWG,tempc,C,Temp (WQM),12.002
2024,5-29,LWG,tempc,C,Temp (WQM),12.473
2024,5-30,LWG,tempc,C,Temp (WQM),13.487
2024,5-31,LWG,tempc,C,Temp (WQM),14.152
2023,3-1,LWG,tempc,C,Temp (WQM),NA
2023,3-2,LWG,tempc,C,Temp (WQM),NA
2023,3-3,LWG,tempc,C,Temp (WQM),NA
2023,3-4,LWG,tempc,C,Temp (WQM),NA
2023,3-5,LWG,tempc,C,Temp (WQM),NA
2023,3-6,LWG,tempc,C,Temp (WQM),NA
2023,3-7,LWG,tempc,C,Temp (WQM),NA
2023,3-8,LWG,tempc,C,Temp (WQM),NA
2023,3-9,LWG,tempc,C,Temp (WQM),NA
2023,3-10,LWG,tempc,C,Temp (WQM),NA
2023,3-11,LWG,tempc,C,Temp (WQM),NA
2023,3-12,LWG,tempc,C,Temp (WQM),NA
2023,3-13,LWG,tempc,C,Temp (WQM),NA
2023,3-14,LWG,tempc,C,Temp (WQM),NA
2023,3-15,LWG,tempc,C,Temp (WQM),NA
2023,3-16,LWG,tempc,C,Temp (WQM),NA
2023,3-17,LWG,tempc,C,Temp (WQM),NA
2023,3-18,LWG,tempc,C,Temp (WQM),NA
2023,3-19,LWG,tempc,C,Temp (WQM),NA
2023,3-20,LWG,tempc,C,Temp (WQM),NA
2023,3-21,LWG,tempc,C,Temp (WQM),NA
2023,3-22,LWG,tempc,C,Temp (WQM),NA
2023,3-23,LWG,tempc,C,Temp (WQM),5.909
2023,3-24,LWG,tempc,C,Temp (WQM),5.883
2023,3-25,LWG,tempc,C,Temp (WQM),5.982
2023,3-26,LWG,tempc,C,Temp (WQM),6.096
2023,3-27,LWG,tempc,C,Temp (WQM),6.334
2023,3-28,LWG,tempc,C,Temp (WQM),6.597
2023,3-29,LWG,tempc,C,Temp (WQM),6.427
2023,3-30,LWG,tempc,C,Temp (WQM),6.164
2023,3-31,LWG,tempc,C,Temp (WQM),5.961
2023,4-1,LWG,tempc,C,Temp (WQM),6.001
2023,4-2,LWG,tempc,C,Temp (WQM),6.148
2023,4-3,LWG,tempc,C,Temp (WQM),6.238
2023,4-4,LWG,tempc,C,Temp (WQM),6.436
2023,4-5,LWG,tempc,C,Temp (WQM),6.743
2023,4-6,LWG,tempc,C,Temp (WQM),6.974
2023,4-7,LWG,tempc,C,Temp (WQM),7.077
2023,4-8,LWG,tempc,C,Temp (WQM),6.889
