"year","date","day","YYYMMDD","sum","N","mean","median"
1979,"March5",64,19790305,14,1,14,14
1980,"April11",101,19800411,65.4,2,32.7,32.7
1981,"March10",69,19810310,17.2,4,4.3,3.85
1982,"April15",105,19820415,143.8,7,20.5428571428571,17.8
1983,"April7",97,19830407,154,7,22,21
1984,"April10",100,19840410,171.5,7,24.5,15.9
1985,"March31",90,19850331,162.7,8,20.3375,13.5
1986,"March20",79,19860320,150.7,8,18.8375,11.95
1987,"March29",88,19870329,139.1,8,17.3875,9.65
1988,"April9",99,19880409,154.2,9,17.1333333333333,7.5
1989,"April6",96,19890406,205.7,9,22.8555555555556,17.8
1990,"March15",74,19900315,174.8,9,19.4222222222222,8.6
1991,"April12",102,19910412,208.5,9,23.1666666666667,5.6
1992,"February23",54,19920223,150.3,9,16.7,9.2
1993,"March19",78,19930319,145.2,9,16.1333333333333,13.9
1994,"March24",83,19940324,129.4,9,14.3777777777778,10.2
1995,"March27",86,19950327,206.4,9,22.9333333333333,15.8
1996,"March8",67,19960308,199.2,9,22.1333333333333,9.6
1997,"March20",79,19970320,253.7,9,28.1888888888889,16.7
1998,"April17",107,19980417,173.5,9,19.2777777777778,12.9
1999,"April11",101,19990411,267.1,9,29.6777777777778,16.3
2000,"March23",82,20000323,183.8,9,20.4222222222222,14.7
2001,"April14",104,20010414,104.9,9,11.6555555555556,6.8
2002,"March26",85,20020326,207.1,9,23.0111111111111,14.3
2003,"March28",87,20030328,152.4,9,16.9333333333333,10.5
2004,"March8",67,20040308,146,9,16.2222222222222,11.3
2005,"April5",95,20050405,88.6,9,9.84444444444444,7.1
2006,"April2",92,20060402,217.8,9,24.2,15.5
2007,"March12",71,20070312,162.3,9,18.0333333333333,11
2008,"April12",102,20080412,196.7,9,21.8555555555556,14.6
2009,"April5",95,20090405,167.1,9,18.5666666666667,11.4
2010,"April10",100,20100410,150.3,9,16.7,10.7
2011,"April17",107,20110417,227.8,9,25.3111111111111,16.3
2012,"April3",93,20120403,201.6,9,22.4,12.1
2013,"March27",86,20130327,155.1,9,17.2333333333333,10.9
2014,"April2",92,20140402,173.3,9,19.2555555555556,6.6
2015,"March8",67,20150308,113.7,9,12.6333333333333,6.8
2016,"March28",87,20160328,193.6,9,21.5111111111111,13.6
2017,"March14",73,20170314,198.5,9,22.0555555555556,15.4
2018,"March28",87,20180328,189.2,9,21.0222222222222,14.3
2019,"March16",75,20190316,141.7,8,17.7125,15.15
2020,"April5",95,20200405,167.4,9,18.6,11
2021,"March26",85,20210326,182.7,9,20.3,13.4
